assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,Full_Name,Unique_ID,shots,key_passes,npg,npxG,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,opponent_xG_rolling_4,opponent_deep_rolling_4,opponent_xGA_rolling_4,opponent_deep_allowed_rolling_4,opponent_xG_rolling_16,opponent_deep_rolling_16,opponent_xGA_rolling_16,opponent_deep_allowed_rolling_16,team_xG_rolling_4,team_deep_rolling_4,team_xGA_rolling_4,team_deep_allowed_rolling_4,team_xG_rolling_16,team_deep_rolling_16,team_xGA_rolling_16,team_deep_allowed_rolling_16,season,position
0,0,7,0,1.1,342,0.0,0.08,0.0337815657258033,0.83,102,2,0,2.4,6.2,2024-11-09,18,False,5,0,0,0,0,11,0,519845,0,1,2,17.0,1,-58249,15393,73642,65,False,0,Bernardo Veiga de Carvalho e Silva,342,1,0,0,0.0337815657258033,13,BHA,1080,1140,MCI,1230,1350,1.544805,6.75,1.4876175,9.25,1.6398431875,7.0625,1.57867146875,6.75,2.0620225000000003,15.5,1.5847415000000002,5.75,2.3004083125,13.8125,1.11372171875,4.1875,2024,MID
0,0,18,0,57.7,342,0.2402637600898742,0.32,0.0299968924373388,2.51,118,4,0,9.2,20.4,2024-11-23,90,False,18,0,0,0,0,12,0,462933,1,4,0,14.0,1,-60191,9281,69472,64,True,1,Bernardo Veiga de Carvalho e Silva,342,1,4,0,0.0299968924373388,13,TOT,1140,1350,MCI,1140,1300,1.5770275000000002,9.75,1.6272059999999997,5.5,2.1020246875,11.3125,1.5122263750000002,5.5625,2.3711475,14.5,1.6129165000000003,4.25,2.3440501875,13.875,1.2574179062500002,4.3125,2024,MID
0,0,14,0,16.2,342,0.0139851057901978,0.14,0.1579532176256179,3.35,125,2,0,4.4,14.0,2024-12-01,90,False,12,0,0,0,0,13,0,413897,1,0,2,14.0,2,-50664,2943,53607,64,False,0,Bernardo Veiga de Carvalho e Silva,342,2,1,0,0.1579532176256179,13,LIV,1340,1360,MCI,1230,1350,2.258535,9.5,1.3267999999999998,5.25,2.557729375,12.1875,1.1111598125,5.0625,2.5694725,11.75,2.24873475,6.25,2.420733125,14.4375,1.32812853125,4.4375,2024,MID
0,1,43,1,32.8,342,0.5461402535438538,1.12,0.8509589433670044,1.04,138,0,1,12.9,49.2,2024-12-04,90,False,16,0,0,0,0,14,0,393504,1,0,3,47.0,8,-22757,9134,31891,63,True,1,Bernardo Veiga de Carvalho e Silva,342,1,2,1,0.8509589433670044,13,NFO,1230,1130,MCI,1140,1300,1.424409,4.5,1.031072,9.0,1.6156799375,6.25,1.330527375,7.3125,1.9650112500000003,9.75,3.0813725,6.75,2.1844578125000003,13.5,1.53460684375,4.875,2024,MID
1,0,20,0,29.5,342,0.4029170870780945,0.41,0.0,1.34,143,2,0,6.5,25.4,2024-12-07,90,False,7,0,0,0,0,15,0,403603,1,2,2,10.0,5,7020,22853,15833,63,False,0,Bernardo Veiga de Carvalho e Silva,342,0,2,0,0.0,13,CRY,1130,1110,MCI,1230,1350,1.8812275,5.75,1.44763925,5.5,1.6253938125,6.5,1.5736395625,5.9375,2.17725875,8.0,2.66958625,7.0,2.1875521875,13.3125,1.5792025,5.25,2024,MID
0,0,13,0,0.9,342,0.0,0.0,0.0,2.08,156,2,0,1.3,7.6,2024-12-15,90,False,14,0,0,0,0,16,0,390075,1,2,1,4.0,2,-13888,11902,25790,63,True,0,Bernardo Veiga de Carvalho e Silva,342,0,0,0,0.0,13,MUN,1140,1170,MCI,1140,1300,1.1891282499999998,5.75,1.5929865,4.75,1.5503338125,6.9375,1.7179402499999998,6.625,1.92257375,11.0,2.25548625,7.25,2.1176328125,13.9375,1.539946875,5.3125,2024,MID
0,0,13,0,29.0,342,0.1005477160215377,0.11,0.0,1.67,161,2,0,4.6,14.6,2024-12-21,90,False,2,0,0,0,0,17,0,374185,1,1,2,2.0,2,-16993,8009,25002,63,False,0,Bernardo Veiga de Carvalho e Silva,342,0,2,0,0.0,13,AVL,1080,1140,MCI,1230,1350,1.7487440000000003,8.75,1.4384954999999997,5.25,1.9350715625,7.9375,1.485471,5.125,1.542352,8.5,1.94101875,6.5,2.01282425,13.1875,1.6528506875,5.625,2024,MID
0,2,31,0,22.0,342,0.0273299533873796,0.31,0.4638553261756897,0.63,176,1,1,9.4,46.8,2024-12-26,90,False,8,0,0,0,0,18,0,363528,1,1,1,25.0,9,-12117,16060,28177,63,True,0,Bernardo Veiga de Carvalho e Silva,342,3,1,1,0.4638553261756897,13,EVE,1150,1100,MCI,1140,1300,0.86719125,3.0,1.3584735,7.0,1.1435474375,5.5625,1.6175174375,6.875,1.6301657500000002,8.5,1.53085375,6.25,2.0075673750000003,12.8125,1.7152663125,5.5625,2024,MID
0,0,18,1,13.4,342,0.0382297560572624,0.07,0.0,1.3,187,0,0,3.4,10.2,2024-12-29,90,False,11,0,0,0,0,19,0,414532,1,2,0,10.0,3,47309,59597,12288,63,False,0,Bernardo Veiga de Carvalho e Silva,342,0,1,0,0.0,13,LEI,1050,1090,MCI,1230,1350,0.6551972499999998,2.25,2.0277775000000005,13.75,1.16987525,4.8125,2.4029293750000003,10.25,1.45965575,10.5,1.4936372500000004,4.75,1.97265925,13.0,1.7260969375000002,5.5625,2024,MID
0,0,15,0,5.9,342,0.0,0.22,0.109993003308773,1.37,197,1,0,4.4,11.0,2025-01-04,90,False,19,0,0,0,0,20,0,419835,1,1,4,27.0,2,5043,35913,30870,63,True,0,Bernardo Veiga de Carvalho e Silva,342,1,0,0,0.109993003308773,13,WHU,1070,1130,MCI,1140,1300,1.3667572499999996,5.25,2.2223050000000004,12.0,1.4713778750000002,6.6875,2.0477115625,8.375,1.45851075,8.75,1.6504672500000002,4.5,1.871849875,12.25,1.782026875,5.5625,2024,MID
0,0,13,0,15.4,342,0.0551518872380256,0.04,0.0,2.58,202,2,0,4.3,20.0,2025-01-14,90,False,4,0,0,0,0,21,0,390202,1,2,2,8.0,2,-30260,10311,40571,63,False,0,Bernardo Veiga de Carvalho e Silva,342,0,1,0,0.0,13,BRE,1070,1090,MCI,1230,1350,1.88789525,8.25,1.13709275,13.25,1.771450125,6.6875,1.7268991875,10.8125,1.7939500000000002,10.0,1.52202725,5.0,1.89854175,11.4375,1.812146875,5.625,2024,MID
