assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,1518,0.0,0.0,0.0,0.0,145,0,0,0.0,0.0,2023-12-06 19:30:00+00:00,0,9,0,0,0,0,15,0,211,0,0,5,0.0,0,-2,0,2,45,False,0,3,Braian Ojeda Rodríguez,16,FUL,1050,1060,NFO,1125,1080,1,2023
0,0,0,0,0.0,1518,0.0,0.0,0.0,0.0,160,0,0,0.0,0.0,2023-12-09 15:00:00+00:00,0,20,0,0,0,0,16,0,209,0,1,1,0.0,0,-2,0,2,45,False,0,3,Braian Ojeda Rodríguez,16,WOL,1085,1115,NFO,1125,1080,1,2023
0,0,0,0,0.0,1518,0.0,0.0,0.0,0.0,169,0,0,0.0,0.0,2023-12-15 20:00:00+00:00,0,18,0,0,0,0,17,0,201,0,2,0,0.0,0,-8,0,8,45,True,0,3,Braian Ojeda Rodríguez,16,TOT,1150,1310,NFO,1050,1080,1,2023
0,0,0,0,0.0,1518,0.0,0.0,0.0,0.0,177,0,0,0.0,0.0,2023-12-23 15:00:00+00:00,0,3,0,0,0,0,18,0,201,0,3,2,0.0,0,0,0,0,45,True,0,3,Braian Ojeda Rodríguez,16,BOU,1130,1075,NFO,1050,1080,1,2023
0,0,0,0,0.0,1518,0.0,0.0,0.0,0.0,189,0,0,0.0,0.0,2023-12-26 12:30:00+00:00,0,15,0,0,0,0,19,0,201,0,3,1,0.0,0,0,0,0,45,False,0,3,Braian Ojeda Rodríguez,16,NEW,1050,1160,NFO,1125,1080,1,2023
0,0,0,0,0.0,1518,0.0,0.0,0.0,0.0,197,0,0,0.0,0.0,2023-12-30 17:30:00+00:00,0,14,0,0,0,0,20,0,197,0,1,2,0.0,0,-4,0,4,45,True,0,3,Braian Ojeda Rodríguez,16,MUN,1210,1230,NFO,1050,1080,1,2023
0,0,0,0,0.0,1518,0.0,0.0,0.0,0.0,203,0,0,0.0,0.0,2024-01-20 17:30:00+00:00,0,4,0,0,0,0,21,0,195,0,2,3,0.0,0,-2,0,2,45,False,0,3,Braian Ojeda Rodríguez,16,BRE,1110,1090,NFO,1125,1080,1,2023
0,0,0,0,0.0,1518,0.0,0.0,0.0,0.0,215,0,0,0.0,0.0,2024-01-30 19:30:00+00:00,0,1,0,0,0,0,22,0,191,0,2,1,0.0,0,-4,0,4,45,True,0,3,Braian Ojeda Rodríguez,16,ARS,1370,1360,NFO,1050,1080,1,2023
0,0,0,0,0.0,1518,0.0,0.0,0.0,0.0,222,0,0,0.0,0.0,2024-02-04 14:00:00+00:00,0,3,0,0,0,0,23,0,191,0,1,1,0.0,0,0,0,0,45,False,0,3,Braian Ojeda Rodríguez,16,BOU,1055,1145,NFO,1125,1080,1,2023
0,0,0,0,0.0,1518,0.0,0.0,0.0,0.0,237,0,0,0.0,0.0,2024-02-10 17:30:00+00:00,0,15,0,0,0,0,24,0,191,0,3,2,0.0,0,0,0,0,45,True,0,3,Braian Ojeda Rodríguez,16,NEW,1210,1355,NFO,1050,1080,1,2023
0,0,0,0,0.0,1518,0.0,0.0,0.0,0.0,248,0,0,0.0,0.0,2024-02-17 15:00:00+00:00,0,19,0,0,0,0,25,0,190,0,0,2,0.0,0,-1,0,1,45,True,0,3,Braian Ojeda Rodríguez,16,WHU,1140,1150,NFO,1050,1080,1,2023
0,0,0,0,0.0,1518,0.0,0.0,0.0,0.0,252,0,0,0.0,0.0,2024-02-24 15:00:00+00:00,0,2,0,0,0,0,26,0,190,0,2,4,0.0,0,0,0,0,45,False,0,3,Braian Ojeda Rodríguez,16,AVL,1140,1180,NFO,1125,1080,1,2023
0,0,0,0,0.0,1518,0.0,0.0,0.0,0.0,268,0,0,0.0,0.0,2024-03-02 15:00:00+00:00,0,12,0,0,0,0,27,0,189,0,1,0,0.0,0,-1,0,1,45,True,0,3,Braian Ojeda Rodríguez,16,LIV,1350,1390,NFO,1050,1080,1,2023
0,0,0,0,0.0,1518,0.0,0.0,0.0,0.0,274,0,0,0.0,0.0,2024-03-10 14:00:00+00:00,0,5,0,0,0,0,28,0,189,0,0,1,0.0,0,0,0,0,45,False,0,3,Braian Ojeda Rodríguez,16,BHA,1070,1135,NFO,1125,1080,1,2023
0,0,0,0,0.0,1518,0.0,0.0,0.0,0.0,287,0,0,0.0,0.0,2024-03-16 15:00:00+00:00,0,22,0,0,0,0,29,0,189,0,1,1,0.0,0,0,0,0,45,False,0,3,Braian Ojeda Rodríguez,16,LUT,1020,1090,NFO,1125,1080,1,2023
0,0,0,0,0.0,1518,0.0,0.0,0.0,0.0,298,0,0,0.0,0.0,2024-03-30 15:00:00+00:00,0,7,0,0,0,0,30,0,189,0,1,1,0.0,0,0,0,0,45,True,0,3,Braian Ojeda Rodríguez,16,CRY,1120,1085,NFO,1050,1080,1,2023
0,0,0,0,0.0,1518,0.0,0.0,0.0,0.0,305,0,0,0.0,0.0,2024-04-02 18:30:00+00:00,0,9,0,0,0,0,31,0,188,0,1,3,0.0,0,-1,0,1,45,True,0,3,Braian Ojeda Rodríguez,16,FUL,1180,1170,NFO,1050,1080,1,2023
0,0,0,0,0.0,1518,0.0,0.0,0.0,0.0,319,0,0,0.0,0.0,2024-04-07 17:00:00+00:00,0,18,0,0,0,0,32,0,187,0,1,3,0.0,0,-1,0,1,45,False,0,3,Braian Ojeda Rodríguez,16,TOT,1110,1230,NFO,1125,1080,1,2023
0,0,0,0,0.0,1518,0.0,0.0,0.0,0.0,329,0,0,0.0,0.0,2024-04-13 14:00:00+00:00,0,20,0,0,0,0,33,0,187,0,2,2,0.0,0,0,0,0,45,True,0,3,Braian Ojeda Rodríguez,16,WOL,1105,1100,NFO,1050,1080,1,2023
0,0,0,0,0.0,1518,0.0,0.0,0.0,0.0,334,0,0,0.0,0.0,2024-04-21 12:30:00+00:00,0,8,0,0,0,0,34,0,186,0,0,2,0.0,0,0,0,0,45,False,0,3,Braian Ojeda Rodríguez,16,EVE,1125,1065,NFO,1125,1080,1,2023
0,0,0,0,0.0,1518,0.0,0.0,0.0,0.0,347,0,0,0.0,0.0,2024-04-28 15:30:00+00:00,0,13,0,0,0,0,35,0,187,0,2,0,0.0,0,0,0,0,45,True,0,3,Braian Ojeda Rodríguez,16,MCI,1360,1370,NFO,1050,1080,1,2023
0,0,0,0,0.0,1518,0.0,0.0,0.0,0.0,360,0,0,0.0,0.0,2024-05-04 14:00:00+00:00,0,23,0,0,0,0,36,0,186,0,3,1,0.0,0,-1,0,1,45,False,0,3,Braian Ojeda Rodríguez,16,SHU,1045,1020,NFO,1125,1080,1,2023
0,0,0,0,0.0,1518,0.0,0.0,0.0,0.0,367,0,0,0.0,0.0,2024-05-11 16:30:00+00:00,0,6,0,0,0,0,37,0,183,0,3,2,0.0,0,-3,0,3,45,True,0,3,Braian Ojeda Rodríguez,16,CHE,1150,1230,NFO,1050,1080,1,2023
0,0,0,0,0.0,1518,0.0,0.0,0.0,0.0,374,0,0,0.0,0.0,2024-05-19 15:00:00+00:00,0,21,0,0,0,0,38,0,182,0,2,1,0.0,0,-1,0,1,45,False,0,3,Braian Ojeda Rodríguez,16,BUR,1050,1040,NFO,1125,1080,1,2023
