assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,Full_Name,Unique_ID,shots,key_passes,npg,npxG,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,team_xG_rolling_4,team_deep_rolling_4,team_xGA_rolling_4,team_deep_allowed_rolling_4,team_xG_rolling_16,team_deep_rolling_16,team_xGA_rolling_16,team_deep_allowed_rolling_16,opponent_xG_rolling_4,opponent_deep_rolling_4,opponent_xGA_rolling_4,opponent_deep_allowed_rolling_4,opponent_xG_rolling_16,opponent_deep_rolling_16,opponent_xGA_rolling_16,opponent_deep_allowed_rolling_16,season,position
0,0,0,0,0.0,299,0.0,0.0,0.0,0.0,166,0,0,0.0,0.0,2023-12-17,0,14,0,0,0,0,17,0,587,0,0,0,0.0,0,-3,0,3,50,True,0,Jordan Henderson,936,0,0,0,0.0,12,MUN,1210,1230,LIV,1210,1270,1.666637,13.0,1.4829904999999997,5.5,2.1875393125,11.8125,1.34445340625,6.125,1.912116,7.75,2.4312375,9.75,1.63012625,9.4375,1.8433426875,8.0625,2023,MID
0,0,0,0,0.0,299,0.0,0.0,0.0,0.0,174,0,0,0.0,0.0,2023-12-23,0,1,0,0,0,0,18,0,583,0,1,1,0.0,0,-4,0,4,50,True,0,Jordan Henderson,936,0,0,0,0.0,12,ARS,1370,1360,LIV,1210,1270,1.967845,14.5,1.1921142499999997,4.5,2.2294874375,12.0,1.26321184375,5.875,2.594565,16.0,0.7241667500000002,1.75,2.151146,11.3125,0.9150024,4.625,2023,MID
0,0,0,0,0.0,299,0.0,0.0,0.0,0.0,185,0,0,0.0,0.0,2023-12-26,0,21,0,0,0,0,19,0,582,0,2,0,0.0,0,-1,0,1,50,False,0,Jordan Henderson,936,0,0,0,0.0,12,BUR,1050,1040,LIV,1350,1390,1.53149275,12.0,1.0275219999999998,4.5,2.0875137500000003,11.75,1.2297731562499998,5.6875,0.76543425,4.5,1.921335,11.25,1.03873275,5.0,1.7833911875,9.0,2023,MID
0,0,0,0,0.0,299,0.0,0.0,0.0,0.0,194,0,0,0.0,0.0,2024-01-01,0,15,0,0,0,0,20,0,579,0,2,4,0.0,0,-3,0,3,50,True,0,Jordan Henderson,936,0,0,0,0.0,12,NEW,1210,1355,LIV,1210,1270,1.50233025,13.0,1.0620762499999996,4.75,2.1392880625,12.5625,1.18927434375,5.5625,2.5247375,16.5,2.4495155,5.5,2.2818575625,9.5,1.4801641875,5.8125,2023,MID
0,0,0,0,0.0,299,0.0,0.0,0.0,0.0,202,0,0,0.0,0.0,2024-01-21,0,3,0,0,0,0,21,0,577,0,4,0,0.0,0,-2,0,2,50,False,0,Jordan Henderson,936,0,0,0,0.0,12,BOU,1055,1145,LIV,1350,1390,2.82750775,13.25,0.8419397499999998,4.75,2.3855461875,12.875,1.20774128125,5.625,1.8815675,9.25,1.09485025,10.25,1.70080825,8.1875,1.6950524374999998,10.1875,2023,MID
0,0,0,0,0.0,299,0.0,0.0,0.0,0.0,219,0,0,0.0,0.0,2024-01-31,0,6,0,0,0,0,22,0,576,0,1,4,0.0,0,-1,0,1,50,True,0,Jordan Henderson,936,0,0,0,0.0,12,CHE,1150,1230,LIV,1210,1270,2.71809025,14.0,0.8924072499999998,5.5,2.3046980625,12.8125,1.22622578125,5.6875,2.0261875000000003,11.5,1.5107785000000002,6.75,2.0856645625,9.375,1.5823053125,6.8125,2023,MID
0,0,0,0,0.0,299,0.0,0.0,0.0,0.0,221,0,0,0.0,0.0,2024-02-04,0,1,0,0,0,0,23,0,575,0,1,3,0.0,0,-1,0,1,50,False,0,Jordan Henderson,936,0,0,0,0.0,12,ARS,1370,1330,LIV,1350,1390,3.38804,14.75,0.7989799999999997,5.75,2.2747030625000004,12.5625,1.15992528125,6.0,2.34015,18.75,1.0112752500000002,2.0,2.13366075,12.9375,0.8930077750000001,3.8125,2023,MID
0,0,0,0,0.0,299,0.0,0.0,0.0,0.0,234,0,0,0.0,0.0,2024-02-10,0,21,0,0,0,0,24,0,574,0,1,3,0.0,0,-1,0,1,50,True,0,Jordan Henderson,936,0,0,0,0.0,12,BUR,1050,1050,LIV,1210,1270,3.1024255,10.75,1.2690327499999996,6.25,2.2383944375,12.25,1.20144840625,5.1875,1.28372,3.5,1.75666425,9.0,1.0997376875,4.4375,1.7928605,9.5625,2023,MID
0,0,0,0,0.0,299,0.0,0.0,0.0,0.0,241,0,0,0.0,0.0,2024-02-17,0,4,0,0,0,0,25,0,574,0,4,1,0.0,0,0,0,0,50,False,0,Jordan Henderson,936,0,0,0,0.0,12,BRE,1110,1090,LIV,1350,1390,2.221383,10.5,1.31909675,6.75,2.2782100625,12.25,1.1314084062499998,5.3125,1.56334525,5.75,1.9375275,10.75,1.7287900625,6.5625,1.5111769375,10.0625,2023,MID
0,0,0,0,0.0,299,0.0,0.0,0.0,0.0,257,0,0,0.0,0.0,2024-02-21,0,22,0,0,0,0,25,0,574,0,1,4,0.0,0,0,0,0,50,True,0,Jordan Henderson,936,0,0,0,0.0,12,LUT,1060,1120,LIV,1210,1270,2.610403,9.5,1.5342454999999997,6.75,2.3284500625,12.125,1.231496375,5.625,2.4105600000000003,8.25,2.2399375,6.0,1.3699377499999998,4.625,2.4460225,8.8125,2023,MID
0,0,0,0,0.0,299,0.0,0.0,0.0,0.0,268,0,0,0.0,0.0,2024-03-02,0,16,0,0,0,0,27,0,574,0,1,0,0.0,0,0,0,0,50,False,0,Jordan Henderson,936,0,0,0,0.0,12,NFO,1050,1080,LIV,1350,1390,2.620483,11.0,1.6538804999999996,6.25,2.3908713125,12.4375,1.2511525,5.6875,1.58743325,7.25,1.42737525,7.5,1.306446,5.8125,1.5835803125,10.3125,2023,MID
0,0,0,0,0.0,299,0.0,0.0,0.0,0.0,277,0,0,0.0,0.0,2024-03-10,0,13,0,0,0,0,28,0,574,0,1,1,0.0,0,0,0,0,50,True,0,Jordan Henderson,936,0,0,0,0.0,12,MCI,1360,1370,LIV,1210,1270,2.8156175,13.5,1.1835969999999998,6.75,2.2835800625,12.3125,1.2280503749999998,6.0625,2.43822,21.75,0.8531205,4.75,2.24542125,13.9375,1.118691125,4.1875,2023,MID
0,0,0,0,0.0,299,0.0,0.0,0.0,0.0,295,0,0,0.0,0.0,2024-03-31,0,5,0,0,0,0,30,0,569,0,1,2,0.0,0,-2,0,2,50,True,0,Jordan Henderson,936,0,0,0,0.0,12,BHA,1180,1240,LIV,1210,1270,2.5925125,12.0,1.2490119999999998,6.5,2.3270100625,12.1875,1.22325975,5.875,1.673947,10.0,0.7339857500000002,3.25,1.692284375,10.8125,1.48115125,7.75,2023,MID
0,0,0,0,0.0,299,0.0,0.0,0.0,0.0,308,0,0,0.0,0.0,2024-04-04,0,23,0,0,0,0,31,0,568,0,1,3,0.0,0,-1,0,1,50,True,0,Jordan Henderson,936,0,0,0,0.0,12,SHU,1020,1060,LIV,1210,1270,2.623005,15.25,0.935022,5.5,2.4798358125,13.3125,1.1384472499999998,5.5625,1.140369,3.25,2.1795575,13.5,1.20638225,4.1875,2.0569001875,10.5,2023,MID
0,0,0,0,0.0,299,0.0,0.0,0.0,0.0,317,0,0,0.0,0.0,2024-04-07,0,14,0,0,0,0,32,0,568,0,2,2,0.0,0,0,0,0,50,False,0,Jordan Henderson,936,0,0,0,0.0,12,MUN,1130,1120,LIV,1350,1390,2.32668,15.75,0.8761309999999998,5.0,2.4666739375,13.375,1.0891283749999998,5.375,1.40294725,5.5,2.77712,18.75,1.693363625,7.5,1.976688,10.5625,2023,MID
0,0,0,0,0.0,299,0.0,0.0,0.0,0.0,326,0,0,0.0,0.0,2024-04-14,0,7,0,0,0,0,33,0,568,0,1,0,0.0,0,0,0,0,50,True,0,Jordan Henderson,936,0,0,0,0.0,12,CRY,1120,1085,LIV,1210,1270,3.104675,18.0,0.8368917499999998,4.75,2.6312620625000003,13.8125,1.0878994375,5.625,1.45527775,5.0,1.3608655,7.5,1.207666625,5.375,1.7034087875,8.5,2023,MID
0,0,0,0,0.0,299,0.0,0.0,0.0,0.0,335,0,0,0.0,0.0,2024-04-21,0,9,0,0,0,0,34,0,568,0,3,1,0.0,0,0,0,0,50,False,0,Jordan Henderson,936,0,0,0,0.0,12,FUL,1050,1060,LIV,1350,1390,3.3021875,18.5,1.0258667499999998,5.0,2.7358976875,13.5625,1.1089788125,5.75,1.6485685,9.75,1.591905,5.0,1.5800485,9.125,1.69618625,8.25,2023,MID
0,0,0,0,0.0,299,0.0,0.0,0.0,0.0,285,0,0,0.0,0.0,2024-04-24,0,8,0,0,0,0,34,0,568,0,0,2,0.0,0,0,0,0,50,False,0,Jordan Henderson,936,0,0,0,0.0,12,EVE,1125,1065,LIV,1350,1390,2.7554275,14.75,1.12577425,5.5,2.6767314375,13.375,1.12186225,5.8125,1.01233175,5.0,1.8892925,8.0,1.4823290624999998,6.0625,1.82207725,7.9375,2023,MID
0,0,0,0,0.0,299,0.0,0.0,0.0,0.0,349,0,0,0.0,0.0,2024-04-27,0,19,0,0,0,0,35,0,568,0,2,2,0.0,0,0,0,0,50,False,0,Jordan Henderson,936,0,0,0,0.0,12,WHU,1055,1150,LIV,1350,1390,2.593885,16.25,1.41831475,6.5,2.732272,14.4375,1.1868265624999998,5.875,1.3524824999999996,3.0,2.6275675000000005,14.0,1.3790028125,3.5625,2.3060815,13.6875,2023,MID
0,0,0,0,0.0,299,0.0,0.0,0.0,0.0,357,0,0,0.0,0.0,2024-05-05,0,18,0,0,0,0,36,0,568,0,2,4,0.0,0,0,0,0,50,True,0,Jordan Henderson,936,0,0,0,0.0,12,TOT,1150,1310,LIV,1210,1270,2.0584875,16.0,1.4131937499999998,6.25,2.770301375,14.5625,1.1756788125,6.0,1.558149,10.75,2.2221325,5.75,1.9173335625,14.0,1.826280125,6.6875,2023,MID
0,0,0,0,0.0,299,0.0,0.0,0.0,0.0,361,0,0,0.0,0.0,2024-05-13,0,2,0,0,0,0,37,0,568,0,3,3,0.0,0,0,0,0,50,False,0,Jordan Henderson,936,0,0,0,0.0,12,AVL,1140,1180,LIV,1350,1390,2.1128,18.75,1.1740087499999998,7.0,2.5572207500000004,14.9375,1.1919960625,6.3125,1.058145375,7.75,2.0354525,7.25,1.59885534375,8.0625,2.070216875,7.625,2023,MID
0,0,0,0,0.0,299,0.0,0.0,0.0,0.0,377,0,0,0.0,0.0,2024-05-19,0,20,0,0,0,0,38,0,567,0,0,2,0.0,0,-1,0,1,50,True,0,Jordan Henderson,936,0,0,0,0.0,12,WOL,1105,1100,LIV,1210,1270,2.3316075,18.25,1.6434337499999998,8.5,2.58011075,14.4375,1.309618875,6.5625,0.88188775,3.75,2.58685,11.5,1.264031,5.5625,2.08035825,10.1875,2023,MID
